COMMUNE;ARM;IRIS;ACHL;AEMM;AEMMR;AGEMEN8;ANEM;ANEMR;ASCEN;BAIN;BATI;CATIRIS;CATL;CHAU;CHFL;CHOS;CLIM;CMBL;CUIS;DEROU;DIPLM_15;EAU;EGOUL;ELEC;EMPLM;GARL;HLML;ILETUDM;ILTM;IMMIM;INAIM;INEEM;INP11M;INP16M;INP18M;INP19M;INP24M;INP3M;INP60M;INP65M;INP6M;INP75M;INPAM;INPER;INPER1;INPER2;INPOM;INPSM;IPONDL;IRANM;METRODOM;NBPI;RECHM;REGION;SANI;SANIDOM;SEXEM;STAT_CONJM;STOCD;SURF;TACTM;TPM;TRANSM;TRIRIS;TYPC;TYPL;VOIT;WC
77288;ZZZZZ;772880101;311;2000;9;65;016;03;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;A;Z;Z;Z;ZZ;2;1;Z;Z;2;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;3.84209505221621;1;M;02;9;11;2;ZZ;2;B;23;3;21;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;211;2008;9;40;009;02;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;B;Z;Z;Z;16;2;1;Z;1;1;6;0;3;3;3;2;3;0;0;0;1;0;2;5;2;3;2;3;3.96135652209512;1;M;03;Z;11;2;ZZ;1;A;22;3;11;1;4;770291;3;2;3;Z
77288;ZZZZZ;772880101;211;1995;8;40;022;04;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;B;Z;Z;Z;16;2;1;Z;2;2;2;0;0;1;1;2;1;0;0;0;0;0;2;3;1;2;2;1;3.96135652209512;1;M;03;Z;11;2;ZZ;1;A;22;3;11;1;4;770291;2;2;2;Z
77288;ZZZZZ;772880101;212;2003;9;15;014;03;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;B;Z;Z;Z;ZZ;1;1;Z;Z;2;1;1;2;3;5;1;5;0;0;0;1;0;2;6;4;2;0;4;3.96135652209512;1;M;03;1;11;2;ZZ;1;B;22;4;12;Z;Z;770291;2;2;2;Z
77288;ZZZZZ;772880101;211;1996;8;80;019;03;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;A;Z;Z;Z;ZZ;1;1;Z;Z;2;3;0;0;0;0;2;0;0;2;2;0;2;0;2;1;1;0;0;4.94181443971299;1;M;04;9;11;2;ZZ;1;A;22;4;21;Z;Z;770291;2;1;1;Z
77288;ZZZZZ;772880101;311;2012;9;40;005;02;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;A;Z;Z;Z;21;1;2;Z;3;1;6;0;3;3;3;2;3;0;0;0;0;0;2;5;2;3;2;3;3.96135652209512;1;M;05;Z;11;2;ZZ;1;A;10;5;11;1;4;770291;2;1;1;Z
77288;ZZZZZ;772880101;325;2014;9;25;001;00;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;D;Z;Z;Z;16;1;2;Z;2;2;3;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;1.19726389464116;5;M;02;Z;11;2;ZZ;2;B;21;3;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;211;2011;9;20;002;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;C;Z;Z;Z;12;2;1;Z;2;2;1;0;0;0;0;3;2;0;0;0;0;0;3;3;1;2;3;0;4.61389027271234;1;M;04;Z;11;2;ZZ;1;B;22;4;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;325;2014;9;20;001;00;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;D;Z;Z;Z;16;1;2;Z;2;2;3;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;1;0;1.19726389464116;3;M;02;Z;11;2;ZZ;1;B;21;2;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;325;2014;9;25;001;00;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;A;Z;Z;Z;ZZ;2;2;Z;Z;1;6;1;2;4;4;2;4;2;0;0;2;0;0;6;5;1;0;2;1.19726389464116;1;M;03;0;11;2;ZZ;1;A;10;3;25;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;318;2013;9;65;003;01;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;B;Z;Z;Z;ZZ;1;2;Z;Z;2;3;0;0;0;0;1;0;0;1;1;0;1;0;1;1;0;0;0;1.19726389464116;3;M;02;9;11;2;ZZ;1;B;23;3;21;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;211;2002;9;55;012;03;1;Z;Z;H;1;Z;1;Z;Z;6;Z;Z;B;Z;Z;Z;16;2;1;Z;2;2;2;0;1;1;1;2;1;1;2;0;1;0;2;3;2;1;1;0;3.59379379745977;3;M;03;Z;11;2;ZZ;1;B;22;4;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;212;2001;9;40;014;03;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;A;Z;Z;Z;16;2;1;Z;2;1;6;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;4.94181443971299;1;M;02;Z;11;2;ZZ;1;A;22;3;11;1;4;770291;3;2;0;Z
77288;ZZZZZ;772880101;325;2013;9;40;002;01;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;D;Z;Z;Z;16;1;2;Z;2;2;3;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.19726389464116;1;M;03;Z;11;2;ZZ;1;B;10;4;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;311;2007;9;25;006;02;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;D;Z;Z;Z;16;1;2;Z;3;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;1.19726389464116;1;M;02;Z;11;2;ZZ;2;B;21;3;11;1;5;770291;3;2;0;Z
77288;ZZZZZ;772880101;318;2015;9;25;001;00;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;D;Z;Z;Z;16;1;2;Z;2;2;3;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;1.19726389464116;5;M;02;Z;11;2;ZZ;2;B;21;3;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;211;2013;9;25;002;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;D;Z;Z;Z;15;2;1;Z;1;1;6;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;4.94181443971299;1;M;02;Z;11;2;ZZ;1;A;22;3;11;1;5;770291;3;2;0;Z
77288;ZZZZZ;772880101;212;2016;9;25;001;00;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;C;Z;Z;Z;ZZ;2;1;Z;Z;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;3.96135652209512;2;M;03;1;11;2;ZZ;2;B;22;5;12;Z;Z;770291;2;2;0;Z
77288;ZZZZZ;772880101;211;2011;9;25;004;01;2;Z;Z;H;1;Z;2;Z;Z;4;Z;Z;B;Z;Z;Z;16;2;2;Z;2;2;1;0;2;2;2;2;2;0;0;0;1;0;2;4;1;3;1;2;4.94181443971299;1;M;04;Z;11;2;ZZ;1;B;10;4;11;1;4;770291;1;1;1;Z
77288;ZZZZZ;772880101;311;2004;9;40;012;03;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;A;Z;Z;Z;ZZ;2;1;Z;Z;1;6;2;2;4;4;2;5;1;0;0;1;0;1;6;1;5;1;3;3.84209505221621;1;M;04;9;11;2;ZZ;2;B;23;4;24;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;311;2011;9;40;005;02;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;D;Z;Z;Z;16;1;2;Z;1;2;1;1;1;2;2;1;2;0;0;0;0;0;1;3;1;2;1;2;3.84209505221621;1;M;04;Z;11;2;ZZ;2;B;10;4;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;212;2012;9;55;004;01;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;B;Z;Z;Z;ZZ;1;2;Z;Z;2;3;0;0;0;0;2;0;0;1;0;0;0;1;2;1;1;1;0;3.84209505221621;1;M;03;9;11;2;ZZ;1;A;10;4;21;Z;Z;770291;3;2;1;Z
