COMMUNE;ARM;IRIS;ACHL;AEMM;AEMMR;AGEMEN8;ANEM;ANEMR;ASCEN;BAIN;BATI;CATIRIS;CATL;CHAU;CHFL;CHOS;CLIM;CMBL;CUIS;DEROU;DIPLM_15;EAU;EGOUL;ELEC;EMPLM;GARL;HLML;ILETUDM;ILTM;IMMIM;INAIM;INEEM;INP11M;INP16M;INP18M;INP19M;INP24M;INP3M;INP60M;INP65M;INP6M;INP75M;INPAM;INPER;INPER1;INPER2;INPOM;INPSM;IPONDL;IRANM;METRODOM;NBPI;RECHM;REGION;SANI;SANIDOM;SEXEM;STAT_CONJM;STOCD;SURF;TACTM;TPM;TRANSM;TRIRIS;TYPC;TYPL;VOIT;WC
77288;ZZZZZ;772880101;112;1996;8;40;019;03;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;B;Z;Z;Z;16;2;1;Z;2;2;1;1;2;3;3;1;3;0;0;0;1;0;1;4;1;3;1;3;4.35446436794852;1;M;04;Z;11;2;ZZ;2;B;22;4;11;2;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;324;2015;9;40;001;00;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;B;Z;Z;Z;16;1;2;Z;2;2;2;0;0;0;0;2;1;0;0;0;0;0;2;2;2;0;2;0;1.05496534356903;3;M;03;Z;11;2;ZZ;1;B;23;4;11;1;4;770291;3;2;2;Z
77288;ZZZZZ;772880101;211;2011;9;40;001;00;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;A;Z;Z;Z;16;2;1;Z;1;1;6;1;0;0;0;4;2;0;0;0;0;0;2;4;1;3;2;2;1.05496534356903;1;M;05;Z;11;2;ZZ;1;A;22;6;11;1;5;770291;3;2;0;Z
77288;ZZZZZ;772880101;212;2011;9;15;001;00;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;A;Z;Z;Z;12;2;1;Z;1;2;6;0;0;0;0;3;3;0;0;0;0;0;3;3;1;2;3;1;1.05496534356903;2;M;04;Z;11;2;ZZ;1;B;22;5;11;2;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;311;2007;9;25;006;02;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;C;Z;Z;Z;16;1;2;Z;2;2;2;0;1;1;1;2;1;1;0;0;1;0;2;3;2;1;2;0;1.05496534356903;1;M;04;Z;11;2;ZZ;1;B;21;3;11;1;4;770291;3;2;2;Z
77288;ZZZZZ;772880101;311;2011;9;25;002;01;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;C;Z;Z;Z;16;1;2;Z;3;2;2;0;1;1;1;2;2;1;0;0;1;0;2;3;1;2;1;0;1.05496534356903;1;M;02;Z;11;2;ZZ;1;B;10;4;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;324;2013;9;25;003;01;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;D;Z;Z;Z;ZZ;1;2;2;Z;2;3;0;0;0;0;2;0;0;0;0;0;0;2;2;1;1;1;1;1.05496534356903;1;M;02;2;11;2;ZZ;1;B;21;3;12;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;325;2015;9;40;001;00;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;B;Z;Z;Z;16;1;2;Z;1;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.05496534356903;4;M;02;Z;11;2;ZZ;1;B;23;3;11;1;4;770291;2;2;1;Z
77288;ZZZZZ;772880101;211;2007;9;40;005;02;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;A;Z;Z;Z;16;2;1;Z;1;1;6;0;2;2;2;2;2;0;0;0;1;0;2;4;3;1;2;2;1.05496534356903;1;M;05;Z;11;2;ZZ;1;A;22;6;11;1;2;770291;3;2;1;Z
77288;ZZZZZ;772880101;211;2011;9;25;001;00;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;A;Z;Z;Z;15;2;1;Z;1;2;1;0;3;3;3;2;3;0;0;0;3;0;1;5;1;4;1;3;1.05496534356903;1;M;05;Z;11;2;ZZ;1;A;22;6;11;1;5;770291;3;2;0;Z
77288;ZZZZZ;772880101;211;1982;7;55;030;05;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;A;Z;Z;Z;ZZ;1;1;Z;Z;2;4;0;0;0;0;2;0;0;1;0;0;0;0;2;1;1;0;0;3.43968072302842;1;M;04;0;11;2;ZZ;1;A;22;6;21;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;212;2014;9;25;002;01;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;C;Z;Z;Z;ZZ;1;2;Z;Z;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;3.38545006236989;1;M;01;1;11;2;ZZ;2;B;21;2;12;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;211;2004;9;65;012;03;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;B;Z;Z;Z;ZZ;1;2;Z;Z;2;1;0;0;0;0;2;0;0;2;2;0;1;0;2;1;1;0;0;3.38545006236989;1;M;07;0;11;2;ZZ;1;A;10;6;21;Z;Z;770291;1;1;2;Z
77288;ZZZZZ;772880101;311;2005;9;40;007;02;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;D;Z;Z;Z;16;1;1;Z;1;2;6;1;1;3;4;1;4;0;0;0;0;0;2;5;2;3;1;4;3.43968072302842;1;M;05;Z;11;2;ZZ;2;B;22;5;11;1;4;770291;2;1;1;Z
