COMMUNE;ARM;IRIS;ACHL;AEMM;AEMMR;AGEMEN8;ANEM;ANEMR;ASCEN;BAIN;BATI;CATIRIS;CATL;CHAU;CHFL;CHOS;CLIM;CMBL;CUIS;DEROU;DIPLM;EAU;EGOUL;ELEC;EMPLM;GARL;HLML;ILETUDM;ILTM;IMMIM;INAIM;INEEM;INP11M;INP15M;INP17M;INP18M;INP24M;INP3M;INP60M;INP65M;INP5M;INP75M;INPAM;INPER;INPER1;INPER2;INPOM;INPSM;IPONDL;IRANM;METRODOM;NBPI;RECHM;REGION;SANI;SANIDOM;SEXEM;STAT_CONJM;STOCD;SURF;TACTM;TPM;TRANSM;TRIRIS;TYPC;TYPL;VOIT;WC
77288;ZZZZZ;772880101;C100 ;2004;9;55;014;03;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;12;Z;Z;Z;ZZ;1;2;Z;Z;2;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;4.76148279086895;1;M;03;0;11;2;ZZ;2;5;21;3;21;Z;Z;770291;2;2;1;Z
77288;ZZZZZ;772880101;B11  ;2014;9;40;005;02;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;03;Z;Z;Z;ZZ;1;1;Z;Z;1;6;0;2;3;3;2;3;0;0;0;1;0;2;5;4;1;1;3;4.56772323558331;1;M;05;2;11;2;ZZ;1;1;22;5;12;Z;Z;770291;3;2;2;Z
77288;ZZZZZ;772880101;B11  ;2009;9;25;007;02;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;17;Z;Z;Z;16;2;1;Z;2;2;6;0;2;2;2;2;2;0;0;0;0;0;2;4;2;2;2;2;4.01330889402866;1;M;04;Z;11;2;ZZ;1;1;22;4;11;1;5;770291;3;2;2;Z
77288;ZZZZZ;772880101;B11  ;2015;9;40;004;01;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;03;Z;Z;Z;16;1;1;Z;2;1;6;0;2;2;2;2;2;1;0;0;2;0;1;4;2;2;1;2;4.56772323558331;1;M;04;Z;11;2;ZZ;1;1;22;4;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;B12  ;2003;9;40;015;03;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;13;Z;Z;Z;16;2;1;Z;2;2;2;2;0;1;1;3;2;0;0;0;0;0;2;4;3;1;2;2;4.76148279086895;1;M;04;Z;11;2;ZZ;1;3;22;4;11;1;5;770291;3;2;3;Z
77288;ZZZZZ;772880101;C100 ;2015;9;40;001;00;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;13;Z;Z;Z;ZZ;2;1;Z;Z;2;6;0;1;1;1;1;1;0;0;0;0;0;0;2;2;0;0;1;4.01330889402866;3;M;02;9;11;2;ZZ;1;5;23;3;25;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;C100 ;2011;9;40;006;02;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;16;Z;Z;Z;12;1;2;Z;2;1;6;0;2;2;2;2;2;2;0;0;2;0;2;4;3;1;2;1;4.13788496809114;1;M;03;Z;11;2;ZZ;1;1;10;4;11;1;5;770291;2;1;2;Z
77288;ZZZZZ;772880101;C100 ;1999;8;55;019;03;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;12;Z;Z;Z;16;1;2;Z;1;2;1;0;0;0;0;1;0;0;1;0;0;0;1;1;0;1;1;0;4.76148279086895;1;M;02;Z;11;2;ZZ;2;6;10;3;11;1;2;770291;3;2;1;Z
77288;ZZZZZ;772880101;B11  ;1965;5;80;055;07;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;02;Z;Z;Z;ZZ;1;1;Z;Z;2;3;0;0;0;0;2;0;0;2;2;0;2;0;2;1;1;0;0;5.30185559144601;1;M;04;0;11;2;ZZ;1;1;22;4;21;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;B11  ;2014;9;80;005;02;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;01;Z;Z;Z;ZZ;2;1;Z;Z;2;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;4.56772323558331;1;M;04;9;11;2;ZZ;2;4;22;3;21;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;A12  ;2002;9;40;014;03;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;13;Z;Z;Z;16;1;1;Z;1;2;3;0;0;0;0;2;0;0;0;0;0;0;2;2;1;1;2;0;4.01330889402866;1;M;04;Z;11;2;ZZ;2;5;22;5;11;1;5;770291;3;2;2;Z
77288;ZZZZZ;772880101;B11  ;2013;9;40;006;02;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;11;Z;Z;Z;ZZ;2;1;Z;Z;2;3;0;2;3;3;1;3;0;0;0;0;0;0;4;1;3;0;3;4.56772323558331;1;M;06;0;11;2;ZZ;2;2;22;4;25;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;B12  ;2013;9;80;004;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;01;Z;Z;Z;ZZ;1;1;Z;Z;1;6;0;0;0;0;2;0;0;2;2;0;2;0;2;1;1;0;0;4.13788496809114;1;M;03;0;11;2;ZZ;1;1;22;5;21;Z;Z;770291;3;2;1;Z
