COMMUNE;ARM;IRIS;ACHL;AEMM;AEMMR;AGEMEN8;ANEM;ANEMR;ASCEN;BAIN;BATI;CATIRIS;CATL;CHAU;CHFL;CHOS;CLIM;CMBL;CUIS;DEROU;DIPLM;EAU;EGOUL;ELEC;EMPLM;GARL;HLML;ILETUDM;ILTM;IMMIM;INAIM;INEEM;INP11M;INP15M;INP17M;INP19M;INP24M;INP3M;INP60M;INP65M;INP5M;INP75M;INPAM;INPER;INPER1;INPER2;INPOM;INPSM;IPONDL;IRANM;METRODOM;NBPI;RECHM;REGION;SANI;SANIDOM;SEXEM;STAT_CONJM;STOCD;SURF;TACTM;TPM;TRANSM;TRIRIS;TYPC;TYPL;VOIT;WC
77288;ZZZZZ;772880101;B11;2000;9;65;016;03;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;11;Z;Z;Z;ZZ;2;1;Z;Z;2;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;2.587888291558124;1;M;04;9;11;2;ZZ;2;5;22;5;21;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;C100;2011;9;40;005;02;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;17;Z;Z;Z;16;1;2;Z;1;2;1;1;1;2;2;1;2;0;0;0;0;0;1;3;1;2;1;2;5.478386494651384;1;M;04;Z;11;2;ZZ;2;6;10;4;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;B11;2012;9;40;008;02;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;16;Z;Z;Z;15;1;1;Z;3;1;6;0;1;2;2;2;2;0;0;0;0;0;2;4;3;1;1;2;4.611821968312041;1;M;03;Z;11;2;ZZ;1;1;22;4;11;1;5;770291;3;2;2;Z
77288;ZZZZZ;772880101;B11;2007;9;55;012;03;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;16;Z;Z;Z;ZZ;2;1;Z;Z;2;3;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;3.9732365394899634;1;M;03;9;11;2;ZZ;1;5;22;3;25;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;B11;1978;6;40;045;06;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;17;Z;Z;Z;16;1;1;Z;2;2;1;0;0;0;0;2;0;0;1;1;0;0;1;2;0;2;1;0;3.8415973497650797;1;M;03;Z;11;2;ZZ;2;6;22;4;11;1;5;770291;3;2;2;Z
77288;ZZZZZ;772880101;B11;1999;8;25;024;04;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;17;Z;Z;Z;15;2;1;Z;2;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;3.8415973497650797;1;M;03;Z;11;2;ZZ;2;3;22;4;11;2;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;B12;1995;8;80;027;04;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;01;Z;Z;Z;ZZ;1;1;Z;Z;1;6;0;0;0;0;2;0;0;2;2;0;2;0;2;1;1;0;0;4.551986361513708;1;M;03;0;11;2;ZZ;1;1;22;4;21;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;C112;2013;9;25;003;01;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;16;Z;Z;Z;16;1;2;Z;3;2;1;0;0;0;0;2;0;0;0;0;0;0;2;2;1;1;2;0;0.7496363760204251;1;M;02;Z;11;2;ZZ;1;3;10;2;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;B11;1985;7;55;038;05;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;13;Z;Z;Z;ZZ;2;1;Z;Z;2;3;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;3.8415973497650797;1;M;03;0;11;2;ZZ;2;4;22;4;25;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;B11;1965;5;80;058;07;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;13;Z;Z;Z;ZZ;1;2;Z;Z;2;2;0;0;0;0;2;0;0;2;2;0;2;0;2;1;1;0;0;3.8415973497650797;1;M;07;0;11;2;ZZ;1;1;10;5;21;Z;Z;770291;1;1;2;Z
