COMMUNE;ARM;IRIS;ACHL;AEMM;AEMMR;AGEMEN8;ANEM;ANEMR;ASCEN;BAIN;BATI;CATIRIS;CATL;CHAU;CHFL;CHOS;CLIM;CMBL;CUIS;DEROU;DIPLM_15;EAU;EGOUL;ELEC;EMPLM;GARL;HLML;ILETUDM;ILTM;IMMIM;INAIM;INEEM;INP11M;INP16M;INP18M;INP19M;INP24M;INP3M;INP60M;INP65M;INP6M;INP75M;INPAM;INPER;INPER1;INPER2;INPOM;INPSM;IPONDL;IRANM;METRODOM;NBPI;RECHM;REGION;REGION2016;SANI;SANIDOM;SEXEM;STAT_CONJM;STOCD;SURF;TACTM;TPM;TRANSM;TRIRIS;TYPC;TYPL;VOIT;WC
77288;ZZZZZ;772880101;311;2000;9;55;013;03;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;C;Z;Z;Z;16;1;2;Z;2;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.02168454788425;1;M;02;Z;11;11;2;ZZ;1;B;10;2;11;1;3;770291;3;2;1;Z
77288;ZZZZZ;772880101;315;2009;9;40;002;01;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;B;Z;Z;Z;16;1;2;Z;1;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;1.02168454788425;1;M;02;Z;11;11;2;ZZ;2;B;21;2;11;1;3;770291;2;2;0;Z
77288;ZZZZZ;772880101;311;1999;8;80;014;03;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;A;Z;Z;Z;ZZ;1;2;Z;Z;2;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1.02168454788425;1;M;03;0;11;11;2;ZZ;2;B;10;4;21;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;315;2009;9;55;002;01;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;A;Z;Z;Z;16;1;2;Z;1;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;1.02168454788425;1;M;02;Z;11;11;2;ZZ;2;A;21;2;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;211;2003;9;55;008;02;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;B;Z;Z;Z;16;2;1;Z;1;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;3.37334303980949;1;M;03;Z;11;11;2;ZZ;1;B;22;3;11;1;2;770291;3;2;0;Z
77288;ZZZZZ;772880101;211;2006;9;25;005;02;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;B;Z;Z;Z;ZZ;2;1;Z;Z;2;2;0;5;5;5;2;5;1;0;0;3;0;2;7;2;5;0;4;3.37334303980949;1;M;05;2;11;11;2;ZZ;1;A;22;5;12;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;211;1967;5;80;044;06;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;A;Z;Z;Z;ZZ;2;1;Z;Z;2;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;3.37334303980949;1;M;02;0;11;11;2;ZZ;2;B;22;3;21;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;211;1964;5;65;047;06;1;Z;Z;H;1;Z;1;Z;Z;6;Z;Z;A;Z;Z;Z;ZZ;2;1;Z;Z;2;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;3.37334303980949;1;M;05;9;11;11;2;ZZ;2;B;22;5;21;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;211;2005;9;55;006;02;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;B;Z;Z;Z;16;2;1;Z;1;2;2;0;0;0;0;2;0;0;0;0;0;0;2;2;1;1;1;0;3.37334303980949;1;M;02;Z;11;11;1;ZZ;1;A;22;2;11;1;2;770291;3;2;1;Z
77288;ZZZZZ;772880101;211;1974;6;55;037;05;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;A;Z;Z;Z;ZZ;2;1;Z;Z;2;3;0;0;0;0;3;0;0;1;0;0;0;2;3;0;3;1;0;3.37334303980949;1;M;05;0;11;11;2;ZZ;2;B;22;5;21;Z;Z;770291;3;2;0;Z
