COMMUNE;ARM;IRIS;ACHLR3;AEMM;AEMMR;AGEMEN8;ANEM;ANEMR;ASCEN;BAIN;BATI;CATIRIS;CATL;CHAU;CHFL;CHOS;CLIM;CMBL;CUIS;DEROU;DIPLM;EAU;EGOUL;ELEC;EMPLM;GARL;HLML;ILETUDM;ILTM;IMMIM;INAIM;INEEM;INP11M;INP16M;INP18M;INP19M;INP24M;INP3M;INP60M;INP65M;INP6M;INP75M;INPAM;INPER;INPER1;INPER2;INPOM;INPSM;IPONDL;MATRM;METRODOM;NBPI;RECHM;REGION;SANI;SANIDOM;SEXEM;STOCD;SURF;TACTM;TPM;TRANSM;TRIRIS;TYPC;TYPL;VOIT;WC
77288;ZZZZZ;772880101;2;2006;9;25;006;02;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;03;Z;Z;Z;ZZ;2;1;Z;Z;1;6;0;4;4;4;2;4;1;0;0;2;0;2;6;1;5;1;3;1.07768547620875;2;M;05;1;11;2;ZZ;1;22;3;12;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;3;2009;9;25;003;01;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;14;Z;Z;Z;ZZ;1;1;Z;Z;1;6;0;3;3;3;2;3;0;0;0;2;0;2;5;4;1;0;3;3.51375898800829;2;M;04;1;11;2;ZZ;1;22;2;12;Z;Z;770291;2;1;1;Z
77288;ZZZZZ;772880101;1;2002;9;65;012;03;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;01;Z;Z;Z;ZZ;2;2;Z;Z;2;2;0;0;0;0;2;0;0;1;1;0;0;1;2;1;1;1;0;3.23485857825209;2;M;02;0;11;2;ZZ;1;21;1;21;Z;Z;770291;1;1;0;Z
77288;ZZZZZ;772880101;2;2000;9;40;013;03;1;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;02;Z;Z;Z;ZZ;2;1;Z;Z;2;4;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;4.15307148071410;1;M;01;1;11;2;ZZ;1;22;1;12;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;2;2006;9;40;007;02;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;02;Z;Z;Z;ZZ;2;1;Z;Z;2;6;0;1;1;1;1;1;0;0;0;0;0;1;2;1;1;0;1;4.15307148071410;2;M;04;2;11;2;ZZ;2;22;2;12;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;2;1995;8;65;018;03;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;02;Z;Z;Z;ZZ;2;1;Z;Z;1;6;0;0;0;0;2;0;0;2;1;0;0;1;2;1;1;1;0;4.15307148071410;2;M;04;0;11;2;ZZ;1;22;2;21;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;2;2004;9;25;009;02;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;14;Z;Z;Z;ZZ;2;1;Z;Z;2;2;1;0;1;1;1;1;0;0;0;0;0;1;2;0;2;0;1;4.15307148071410;1;M;03;1;11;2;ZZ;2;22;2;12;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;2;2000;9;40;013;03;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;13;Z;Z;Z;16;2;1;Z;1;2;1;0;0;0;0;2;1;0;0;0;0;0;2;2;1;1;1;0;4.15307148071410;1;M;05;Z;11;2;ZZ;2;22;2;11;1;1;770291;3;2;2;Z
77288;ZZZZZ;772880101;2;2008;9;25;005;02;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;14;Z;Z;Z;ZZ;2;1;Z;Z;2;2;0;2;2;2;2;2;2;0;0;2;0;1;4;2;2;0;0;4.15307148071410;2;M;03;1;11;2;ZZ;1;22;2;12;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;2;1999;8;40;014;03;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;13;Z;Z;Z;16;2;1;Z;1;2;6;1;0;1;2;2;3;0;0;0;0;0;1;4;2;2;1;1;4.15307148071410;4;M;04;Z;11;2;ZZ;2;22;2;11;1;1;770291;3;2;0;Z
77288;ZZZZZ;772880101;2;2008;9;25;005;02;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;12;Z;Z;Z;ZZ;2;1;Z;Z;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;4.15307148071410;1;M;03;2;11;2;ZZ;2;22;2;12;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;2;2011;9;20;002;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;15;Z;Z;Z;12;2;1;Z;2;2;1;0;0;0;0;3;2;0;0;0;0;0;3;3;1;2;3;0;4.15307148071410;1;M;04;Z;11;2;ZZ;1;22;2;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;2;2011;9;55;002;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;12;Z;Z;Z;16;2;1;Z;2;2;1;0;0;0;0;2;0;0;0;0;0;0;2;2;1;1;2;1;4.15307148071410;2;M;03;Z;11;2;ZZ;1;22;2;11;2;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;2;2006;9;40;007;02;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;01;Z;Z;Z;ZZ;2;2;Z;Z;1;6;1;1;2;3;3;4;0;0;0;1;0;1;6;3;3;1;4;4.15307148071410;2;M;04;0;11;2;ZZ;1;10;2;25;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;2;2009;9;40;004;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;02;Z;Z;Z;16;2;1;Z;2;2;1;0;1;1;1;2;1;1;0;0;1;0;2;3;2;1;1;0;4.15307148071410;1;M;03;Z;11;2;ZZ;1;22;2;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;2;2011;9;55;002;01;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;15;Z;Z;Z;16;1;1;Z;2;2;4;0;0;0;0;4;1;0;0;0;0;0;4;4;2;2;4;2;4.15307148071410;2;M;04;Z;11;2;ZZ;1;22;2;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;2;1995;8;40;018;03;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;16;Z;Z;Z;16;2;1;Z;2;1;6;0;0;0;0;2;0;0;0;0;0;0;1;2;1;1;1;0;4.15307148071410;2;M;03;Z;11;2;ZZ;1;22;2;11;1;4;770291;3;2;2;Z
77288;ZZZZZ;772880101;2;2005;9;40;008;02;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;15;Z;Z;Z;12;2;1;Z;2;1;6;1;0;0;1;2;1;0;0;0;0;0;2;3;2;1;1;1;4.15307148071410;2;M;04;Z;11;2;ZZ;1;22;2;11;2;5;770291;3;2;0;Z
77288;ZZZZZ;772880101;2;2006;9;25;007;02;1;Z;Z;H;1;Z;1;Z;Z;4;Z;Z;02;Z;Z;Z;ZZ;2;1;Z;Z;1;6;0;1;1;1;1;1;0;0;0;1;0;1;2;0;2;0;0;4.15307148071410;2;M;04;1;11;2;ZZ;2;22;2;12;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;2;2005;9;55;007;02;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;13;Z;Z;Z;ZZ;1;2;Z;Z;2;3;0;0;0;0;2;0;0;2;0;0;0;0;2;1;1;0;0;3.51375898800829;2;M;03;0;11;2;ZZ;1;21;2;21;Z;Z;770291;1;1;1;Z
77288;ZZZZZ;772880101;2;2007;9;55;007;02;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;15;Z;Z;Z;16;2;2;Z;1;2;6;1;0;0;1;1;1;0;0;0;0;0;1;2;0;2;1;1;3.23485857825209;1;M;03;Z;11;2;ZZ;2;10;2;11;1;2;770291;1;1;1;Z
77288;ZZZZZ;772880101;2;2009;9;40;001;00;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;17;Z;Z;Z;16;1;2;Z;3;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;4.46845197452417;1;M;01;Z;11;2;ZZ;2;21;1;11;1;2;770291;3;2;0;Z
77288;ZZZZZ;772880101;3;0000;0;YY;999;99;2;Z;Z;H;4;Z;3;Z;Z;4;Z;Z;YY;Z;Z;Z;YY;1;2;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;1.07768386981371;Y;M;02;Y;11;2;ZZ;Y;00;1;YY;Y;Y;770291;3;2;X;Z
