COMMUNE;ARM;IRIS;ACHL;AEMM;AEMMR;AGEMEN8;ANEM;ANEMR;ASCEN;BAIN;BATI;CATIRIS;CATL;CHAU;CHFL;CHOS;CLIM;CMBL;CUIS;DEROU;DIPLM;EAU;EGOUL;ELEC;EMPLM;GARL;HLML;ILETUDM;ILTM;IMMIM;INAIM;INEEM;INP11M;INP15M;INP17M;INP19M;INP24M;INP3M;INP60M;INP65M;INP5M;INP75M;INPAM;INPER;INPER1;INPER2;INPOM;INPSM;IPONDL;IRANM;METRODOM;NBPI;RECHM;REGION;SANI;SANIDOM;SEXEM;STAT_CONJM;STOCD;SURF;TACTM;TPM;TRANSM;TRIRIS;TYPC;TYPL;VOIT;WC;Texte
77288;ZZZZZ;772880101;C2019;2021;9;25;001;00;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;18;Z;Z;Z;16;1;2;Z;3;1;6;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.12022221515043;1;M;02;Z;11;1;ZZ;1;6;21;2;11;1;6;770291;3;2;0;Z;C2019
77288;ZZZZZ;772880101;C2018;2018;9;40;004;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;18;Z;Z;Z;15;2;2;Z;1;1;6;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;1.12022221515043;1;M;02;Z;11;2;ZZ;2;6;23;3;11;1;5;770291;3;2;1;Z;C2018
77288;ZZZZZ;772880101;C2018;2018;9;25;004;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;16;Z;Z;Z;16;1;2;Z;2;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.12022221515043;1;M;02;Z;11;2;ZZ;1;6;10;3;11;1;5;770291;3;2;1;Z;C2018
77288;ZZZZZ;772880101;C2019;2019;9;25;003;01;1;Z;Z;H;1;Z;1;Z;Z;4;Z;Z;16;Z;Z;Z;16;2;2;Z;3;2;1;0;0;0;0;2;0;0;0;0;0;0;2;2;1;1;2;0;1.12022221515043;1;M;03;Z;11;2;ZZ;2;1;10;4;11;1;6;770291;3;2;2;Z;C2019
77288;ZZZZZ;772880101;C2019;2020;9;25;002;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;16;Z;Z;Z;16;1;2;Z;2;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;1.12022221515043;1;M;01;Z;11;2;ZZ;2;1;21;1;11;1;6;770291;3;2;1;Z;C2019
77288;ZZZZZ;772880101;C117;2022;9;40;000;00;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;02;Z;Z;Z;16;1;2;Z;2;2;1;0;0;0;0;3;0;0;1;1;0;0;2;3;2;1;2;0;1.12022221515043;3;M;03;Z;11;2;ZZ;1;6;10;3;11;1;5;770291;3;2;2;Z;C117
77288;ZZZZZ;772880101;C2018;2018;9;65;004;01;1;Z;Z;H;1;Z;1;Z;Z;4;Z;Z;03;Z;Z;Z;ZZ;1;2;Z;Z;1;6;0;0;0;0;2;0;0;1;1;0;0;0;2;1;1;0;0;1.12022221515043;1;M;02;9;11;2;ZZ;2;4;10;2;21;Z;Z;770291;3;2;1;Z;C2018
77288;ZZZZZ;772880101;C2018;2018;9;25;004;01;1;Z;Z;H;1;Z;1;Z;Z;4;Z;Z;18;Z;Z;Z;ZZ;1;2;Z;Z;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;1.12022221515043;1;M;02;1;11;2;ZZ;1;6;21;3;12;Z;Z;770291;3;2;3;Z;C2018
77288;ZZZZZ;772880101;C2018;2019;9;25;003;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;15;Z;Z;Z;ZZ;1;2;Z;Z;2;1;0;0;0;0;2;1;0;0;0;0;0;2;2;1;1;0;0;1.12022221515043;1;M;03;1;11;2;ZZ;1;3;21;3;12;Z;Z;770291;3;2;1;Z;C2018
77288;ZZZZZ;772880101;C2019;2021;9;25;001;00;1;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;18;Z;Z;Z;16;1;2;Z;3;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;1.12022221515043;2;M;02;Z;11;1;ZZ;2;6;10;3;11;1;5;770291;3;2;1;Z;C2019
77288;ZZZZZ;772880101;C2018;2018;9;25;004;01;1;Z;Z;H;1;Z;2;Z;Z;4;Z;Z;15;Z;Z;Z;16;1;2;Z;3;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.12022221515043;1;M;02;Z;11;2;ZZ;1;6;10;2;11;1;5;770291;3;2;1;Z;C2018
77288;ZZZZZ;772880101;C2018;2018;9;80;004;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;11;Z;Z;Z;ZZ;1;2;Z;Z;2;2;0;0;0;0;1;0;0;1;1;0;1;0;1;1;0;0;0;1.12022221515043;1;M;02;9;11;2;ZZ;1;1;21;2;21;Z;Z;770291;3;2;0;Z;C2018
77288;ZZZZZ;772880101;C2018;2018;9;40;004;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;15;Z;Z;Z;16;1;2;Z;3;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;1.12022221515043;1;M;02;Z;11;2;ZZ;2;5;21;3;11;1;5;770291;3;2;0;Z;C2018
77288;ZZZZZ;772880101;B11;1985;7;80;037;05;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;02;Z;Z;Z;ZZ;1;1;Z;Z;1;6;0;0;0;0;2;0;0;2;2;0;2;0;2;1;1;0;0;4.68744435722309;1;M;03;0;11;2;ZZ;1;1;22;3;21;Z;Z;770291;3;2;0;Z;B11
