COMMUNE;ARM;IRIS;ACHL;AEMM;AEMMR;AGEMEN8;ANEM;ANEMR;ASCEN;BAIN;BATI;CATIRIS;CATL;CHAU;CHFL;CHOS;CLIM;CMBL;CUIS;DEROU;DIPLM;EAU;EGOUL;ELEC;EMPLM;GARL;HLML;ILETUDM;ILTM;IMMIM;INAIM;INEEM;INP11M;INP15M;INP17M;INP18M;INP24M;INP3M;INP60M;INP65M;INP5M;INP75M;INPAM;INPER;INPER1;INPER2;INPOM;INPSM;IPONDL;IRANM;METRODOM;NBPI;RECHM;REGION;SANI;SANIDOM;SEXEM;STAT_CONJM;STOCD;SURF;TACTM;TPM;TRANSM;TRIRIS;TYPC;TYPL;VOIT;WC
77288;ZZZZZ;772880101;B11;2007;9;55;012;03;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;11;Z;Z;Z;ZZ;1;2;Z;Z;2;6;0;0;0;0;2;0;0;1;0;0;0;0;2;1;1;0;0;4.11828262996597;1;M;03;9;11;2;ZZ;2;5;10;4;21;Z;Z;770291;1;1;1;Z
77288;ZZZZZ;772880101;C100;2015;9;40;001;00;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;13;Z;Z;Z;ZZ;2;1;Z;Z;2;6;0;1;1;1;1;1;0;0;0;0;0;0;2;2;0;0;1;3.6184198241721;3;M;02;9;11;2;ZZ;1;5;23;3;25;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;B11;1970;6;80;048;06;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;01;Z;Z;Z;ZZ;2;1;Z;Z;2;3;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;4.29297723595842;1;M;03;0;11;2;ZZ;2;4;22;3;21;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;C100;1996;8;55;023;04;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;13;Z;Z;Z;16;1;2;Z;1;2;1;0;0;0;0;2;0;0;1;0;0;0;1;2;1;1;1;0;4.11828262996597;1;M;03;Z;11;2;ZZ;2;1;10;4;11;1;6;770291;2;1;2;Z
77288;ZZZZZ;772880101;B11;2009;9;25;007;02;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;17;Z;Z;Z;16;2;1;Z;2;2;6;0;2;2;2;2;2;0;0;0;0;0;2;4;2;2;2;2;3.6184198241721;1;M;04;Z;11;2;ZZ;1;1;22;4;11;1;5;770291;3;2;2;Z
77288;ZZZZZ;772880101;B11;2007;9;55;011;03;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;03;Z;Z;Z;16;1;2;Z;2;1;6;0;0;0;0;6;2;0;0;0;0;0;6;6;2;4;4;1;4.29297723595842;1;M;04;Z;11;1;ZZ;1;1;10;3;11;1;5;770291;1;1;3;Z
77288;ZZZZZ;772880101;C111;2013;9;55;003;01;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;16;Z;Z;Z;16;1;2;Z;1;2;1;0;0;0;0;1;0;0;1;0;0;0;1;1;0;1;1;0;1.1275627885979;1;M;03;Z;11;2;ZZ;2;5;21;3;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;B11;1966;5;80;051;07;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;16;Z;Z;Z;ZZ;2;1;Z;Z;2;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;3.73073824966781;1;M;04;0;11;2;ZZ;2;4;22;5;21;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;C113;2014;9;20;001;00;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;14;Z;Z;Z;16;1;2;Z;2;2;1;0;0;0;0;2;2;0;0;0;0;0;2;2;1;1;2;0;1.1275627885979;3;M;02;Z;11;2;ZZ;1;3;21;2;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;B11;2010;9;55;008;02;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;13;Z;Z;Z;16;1;2;Z;3;2;3;0;0;0;0;2;0;0;0;0;0;0;2;2;1;1;2;1;4.29297723595842;1;M;03;Z;11;2;ZZ;2;5;21;4;11;1;5;770291;1;2;1;Z
