COMMUNE;ARM;IRIS;ACHL;AEMM;AEMMR;AGEMEN8;ANEM;ANEMR;ASCEN;BAIN;BATI;CATIRIS;CATL;CHAU;CHFL;CHOS;CLIM;CMBL;CUIS;DEROU;DIPLM;EAU;EGOUL;ELEC;EMPLM;GARL;HLML;ILETUDM;ILTM;IMMIM;INAIM;INEEM;INP11M;INP15M;INP17M;INP19M;INP24M;INP3M;INP60M;INP65M;INP5M;INP75M;INPAM;INPER;INPER1;INPER2;INPOM;INPSM;IPONDL;IRANM;METRODOM;NBPI;RECHM;REGION;SANI;SANIDOM;SEXEM;STAT_CONJM;STOCD;SURF;TACTM;TPM;TRANSM;TRIRIS;TYPC;TYPL;VOIT;WC
77288;ZZZZZ;772880101;C100 ;1996;8;55;020;04;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;13;Z;Z;Z;16;1;2;Z;1;2;2;0;0;0;0;3;1;0;1;0;0;0;2;3;2;1;2;0;3.90266753271676;1;M;05;Z;11;2;ZZ;2;1;10;5;11;1;1;770291;1;1;3;Z
77288;ZZZZZ;772880101;C100 ;2015;9;25;001;00;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;18;Z;Z;Z;16;1;2;Z;2;2;3;0;0;1;1;1;1;0;0;0;0;0;1;2;2;0;1;1;5.98324964222003;2;M;01;Z;11;2;ZZ;1;6;21;2;11;1;3;770291;3;2;0;Z
77288;ZZZZZ;772880101;C100 ;2010;9;55;006;02;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;01;Z;Z;Z;16;2;2;Z;1;1;6;0;0;0;0;2;0;0;0;0;0;0;2;2;1;1;2;0;5.98324964222003;1;M;03;Z;11;1;ZZ;1;1;10;4;11;1;2;770291;3;2;1;Z
77288;ZZZZZ;772880101;C100 ;2004;9;40;012;03;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;13;Z;Z;Z;16;1;2;Z;2;2;2;1;0;1;1;3;2;0;0;0;0;0;3;4;2;2;3;1;5.98324964222003;1;M;03;Z;11;2;ZZ;2;3;10;4;11;1;5;770291;3;2;3;Z
77288;ZZZZZ;772880101;C100 ;2004;9;20;012;03;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;16;Z;Z;Z;16;2;1;Z;1;2;1;2;2;3;4;2;5;1;0;0;1;0;1;6;1;5;1;3;5.98324964222003;1;M;04;Z;11;2;ZZ;2;6;23;4;11;2;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;B12  ;2014;9;20;002;01;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;03;Z;Z;Z;16;2;2;Z;2;2;2;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1;1;0;5.98324964222003;1;M;01;Z;11;2;ZZ;2;6;21;2;11;1;5;770291;3;2;0;Z
77288;ZZZZZ;772880101;C100 ;2012;9;25;004;01;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;17;Z;Z;Z;16;1;2;Z;2;2;1;0;0;0;0;2;0;0;0;0;0;0;2;2;1;1;2;0;5.98324964222003;1;M;02;Z;11;2;ZZ;1;1;10;3;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;C100 ;2011;9;40;005;02;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;17;Z;Z;Z;16;1;2;Z;1;2;1;1;1;2;2;1;2;0;0;0;0;0;1;3;1;2;1;2;5.98324964222003;1;M;04;Z;11;2;ZZ;2;6;10;4;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;C100 ;2012;9;40;004;01;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;14;Z;Z;Z;16;1;2;Z;1;2;3;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;5.98324964222003;1;M;03;Z;11;2;ZZ;2;6;10;4;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;B12  ;2012;9;55;004;01;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;13;Z;Z;Z;16;1;2;Z;1;2;3;0;0;0;0;2;0;0;1;0;0;0;1;2;1;1;1;0;5.98324964222003;1;M;03;Z;11;2;ZZ;2;1;10;4;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;C100 ;2014;9;25;002;01;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;17;Z;Z;Z;16;1;2;Z;1;2;1;0;1;1;1;2;1;1;0;0;1;0;2;3;1;2;2;0;5.98324964222003;1;M;04;Z;11;2;ZZ;2;3;10;4;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;C100 ;2014;9;40;002;01;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;17;Z;Z;Z;15;1;1;Z;2;1;6;0;2;2;2;2;2;0;0;0;0;0;2;4;3;1;2;2;5.98324964222003;1;M;02;Z;11;2;ZZ;2;1;23;3;11;1;5;770291;3;2;2;Z
77288;ZZZZZ;772880101;C100 ;0000;0;YY;999;99;Y;Z;Z;H;4;Z;Y;Z;Z;Y;Z;Z;YY;Z;Z;Z;YY;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;5.98320764909187;Y;M;YY;Y;11;Y;ZZ;Y;Y;00;Y;YY;Y;Y;770291;Y;5;X;Z
77288;ZZZZZ;772880101;B12  ;0000;0;YY;999;99;Y;Z;Z;H;4;Z;Y;Z;Z;Y;Z;Z;YY;Z;Z;Z;YY;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;5.98320764909187;Y;M;YY;Y;11;Y;ZZ;Y;Y;00;Y;YY;Y;Y;770291;Y;2;X;Z
77288;ZZZZZ;772880101;B12  ;2015;9;25;001;00;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;13;Z;Z;Z;15;1;2;Z;2;2;3;0;1;1;1;1;1;0;0;0;0;0;1;2;0;2;1;1;5.98324964222003;5;M;03;Z;11;2;ZZ;2;6;10;4;11;2;6;770291;2;2;1;Z
77288;ZZZZZ;772880101;C100 ;2004;9;40;012;03;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;12;Z;Z;Z;22;1;2;Z;2;2;3;0;1;1;1;2;1;0;0;0;0;0;2;3;1;2;2;1;5.98324964222003;1;M;03;Z;11;2;ZZ;1;2;10;4;11;1;5;770291;3;2;2;Z
77288;ZZZZZ;772880101;B12  ;2013;9;40;003;01;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;18;Z;Z;Z;22;1;2;Z;1;2;6;1;2;2;3;2;3;1;0;0;1;0;2;5;3;2;2;3;5.98324964222003;1;M;04;Z;11;2;ZZ;1;1;10;4;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;C100 ;2006;9;40;010;03;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;12;Z;Z;Z;16;2;2;Z;2;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;5.98324964222003;1;M;02;Z;11;2;ZZ;2;6;23;3;11;1;6;770291;3;2;0;Z
77288;ZZZZZ;772880101;C100 ;2012;9;25;004;01;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;14;Z;Z;Z;16;1;2;Z;2;2;2;1;1;2;2;2;2;1;0;0;1;0;2;4;2;2;2;1;5.98324964222003;1;M;04;Z;11;2;ZZ;2;2;10;4;11;2;5;770291;3;2;2;Z
77288;ZZZZZ;772880101;C100 ;2012;9;40;004;01;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;12;Z;Z;Z;16;1;2;Z;3;2;2;0;1;2;2;2;2;0;0;0;0;0;2;4;2;2;2;2;5.98324964222003;1;M;03;Z;11;2;ZZ;1;6;21;4;11;1;5;770291;3;2;2;Z
77288;ZZZZZ;772880101;C100 ;2009;9;40;007;02;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;12;Z;Z;Z;16;1;2;Z;3;2;2;0;2;2;2;2;2;1;0;0;2;0;2;4;1;3;2;1;5.98324964222003;1;M;03;Z;11;2;ZZ;1;6;10;4;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;C100 ;2015;9;25;001;00;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;14;Z;Z;Z;16;2;2;Z;1;2;2;2;0;0;2;2;2;0;1;1;0;0;1;4;1;3;1;2;5.98324964222003;2;M;04;Z;11;2;ZZ;2;5;10;4;11;1;6;770291;3;2;0;Z
77288;ZZZZZ;772880101;B11  ;1965;5;80;051;07;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;03;Z;Z;Z;ZZ;1;1;Z;Z;2;6;0;0;0;0;2;0;0;2;2;0;2;0;2;1;1;0;0;6.25197745106237;1;M;04;0;11;2;ZZ;1;1;22;4;21;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;C100 ;2000;9;65;016;03;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;11;Z;Z;Z;ZZ;2;1;Z;Z;2;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;5.98324964222003;1;M;02;9;11;2;ZZ;2;4;23;3;21;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;C100 ;2014;9;25;002;01;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;15;Z;Z;Z;16;1;2;Z;2;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;5.98324964222003;1;M;01;Z;11;2;ZZ;1;6;21;1;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;C100 ;2013;9;55;003;01;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;13;Z;Z;Z;16;1;2;Z;2;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;5.98324964222003;1;M;01;Z;11;2;ZZ;1;6;10;3;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;C100 ;2010;9;25;006;02;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;17;Z;Z;Z;16;1;2;Z;3;2;3;0;1;1;1;2;1;1;0;0;1;0;2;3;2;1;2;0;5.98324964222003;1;M;02;Z;11;2;ZZ;1;1;10;3;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;B12  ;0000;0;YY;999;99;Y;Z;Z;H;4;Z;Y;Z;Z;Y;Z;Z;YY;Z;Z;Z;YY;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;5.98320764909187;Y;M;YY;Y;11;Y;ZZ;Y;Y;00;Y;YY;Y;Y;770291;Y;2;X;Z
77288;ZZZZZ;772880101;C100 ;2015;9;40;001;00;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;13;Z;Z;Z;ZZ;2;1;Z;Z;2;6;0;1;1;1;1;1;0;0;0;0;0;0;2;2;0;0;1;5.98324964222003;3;M;02;9;11;2;ZZ;1;5;23;3;25;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;C100 ;2015;9;25;001;00;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;13;Z;Z;Z;16;2;1;Z;1;2;2;0;1;1;1;2;1;1;0;0;1;0;2;3;1;2;1;0;5.98324964222003;1;M;02;Z;11;2;ZZ;1;1;23;3;11;1;2;770291;3;2;1;Z
