COMMUNE;ARM;IRIS;ACHLR3;AEMM;AEMMR;AGEMEN8;ANEM;ANEMR;ASCEN;BAIN;BATI;CATIRIS;CATL;CHAU;CHFL;CHOS;CLIM;CMBL;CUIS;DEROU;DIPLM;EAU;EGOUL;ELEC;EMPLM;GARL;HLML;ILETUDM;ILTM;IMMIM;INAIM;INEEM;INP11M;INP16M;INP18M;INP19M;INP24M;INP3M;INP60M;INP65M;INP6M;INP75M;INPAM;INPER;INPER1;INPER2;INPOM;INPSM;IPONDL;MATRM;METRODOM;NBPI;RECHM;REGION;SANI;SANIDOM;SEXEM;STOCD;SURF;TACTM;TPM;TRANSM;TRIRIS;TYPC;TYPL;VOIT;WC
77288;ZZZZZ;772880101;3;2004;9;40;009;02;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;17;Z;Z;Z;16;1;2;Z;1;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1,07834273880500;1;M;03;Z;11;2;ZZ;1;10;2;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;3;1999;8;55;014;03;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;11;Z;Z;Z;ZZ;1;2;Z;Z;2;4;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1,07834273880500;2;M;02;0;11;2;ZZ;2;10;2;21;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;3;0000;0;YY;999;99;2;Z;Z;H;4;Z;3;Z;Z;4;Z;Z;YY;Z;Z;Z;YY;1;2;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;1,07832971894741;Y;M;02;Y;11;2;ZZ;Y;00;2;YY;Y;Y;770291;3;2;X;Z
77288;ZZZZZ;772880101;1;2006;9;40;003;01;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;13;Z;Z;Z;16;1;2;Z;3;2;6;1;0;0;1;1;1;0;0;0;0;0;1;2;1;1;1;1;3,70195726811851;3;M;06;Z;11;2;ZZ;2;10;3;11;1;5;770291;1;1;1;Z
77288;ZZZZZ;772880101;2;2010;9;65;000;00;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;16;Z;Z;Z;ZZ;1;2;Z;Z;2;3;0;0;0;0;2;0;0;2;1;0;0;0;2;1;1;0;0;4,47117720967934;2;M;07;0;11;2;ZZ;1;10;3;21;Z;Z;770291;1;1;2;Z
77288;ZZZZZ;772880101;3;0000;0;YY;999;99;2;Z;Z;H;4;Z;2;Z;Z;2;Z;Z;YY;Z;Z;Z;YY;1;2;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;3,56037101624354;Y;M;02;Y;11;2;ZZ;Y;00;2;YY;Y;Y;770291;1;1;X;Z
77288;ZZZZZ;772880101;2;1963;5;65;049;06;2;Z;Z;H;1;Z;2;Z;Z;3;Z;Z;12;Z;Z;Z;ZZ;1;2;Z;Z;2;2;0;0;0;0;1;0;0;1;1;0;1;0;1;1;0;0;0;3,51590197165799;4;M;04;0;11;2;ZZ;1;10;2;21;Z;Z;770291;1;1;1;Z
77288;ZZZZZ;772880101;2;1981;7;65;032;05;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;18;Z;Z;Z;ZZ;1;2;Z;Z;2;2;0;0;0;0;2;0;0;2;1;0;0;0;2;1;1;0;0;4,15560437050808;2;M;07;0;11;2;ZZ;1;10;3;21;Z;Z;770291;1;1;2;Z
77288;ZZZZZ;772880101;2;2001;9;25;009;02;2;Z;Z;H;1;Z;2;Z;Z;3;Z;Z;17;Z;Z;Z;16;1;2;Z;1;2;1;0;2;2;2;2;2;1;0;0;2;0;2;4;3;1;2;1;4,47117720967934;2;M;05;Z;11;2;ZZ;1;10;2;11;1;4;770291;1;1;2;Z
77288;ZZZZZ;772880101;2;2005;9;40;007;02;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;02;Z;Z;Z;16;1;2;Z;2;2;2;2;0;0;1;3;2;0;0;0;0;0;2;4;2;2;2;2;3,51590197165799;2;M;06;Z;11;2;ZZ;1;10;3;11;1;4;770291;1;1;2;Z
77288;ZZZZZ;772880101;2;2009;9;40;004;01;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;18;Z;Z;Z;ZZ;1;2;Z;Z;1;6;1;0;1;1;3;2;0;0;0;0;0;2;4;3;1;0;1;4,15560437050808;2;M;04;1;11;2;ZZ;1;10;2;12;Z;Z;770291;1;1;1;Z
77288;ZZZZZ;772880101;2;2001;9;40;008;02;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;02;Z;Z;Z;16;2;1;Z;1;2;1;0;0;0;0;2;0;0;0;0;0;0;2;2;1;1;2;0;3,70195726811851;1;M;02;Z;11;1;ZZ;1;22;1;11;1;3;770291;3;2;0;Z
77288;ZZZZZ;772880101;2;2010;9;20;001;00;1;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;12;Z;Z;Z;ZZ;2;1;Z;Z;2;2;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;3,56041400450841;1;M;01;1;11;2;ZZ;1;22;1;12;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;2;2000;9;55;009;02;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;14;Z;Z;Z;16;1;1;Z;3;2;4;0;0;0;0;2;0;0;0;0;0;0;2;2;1;1;2;0;3,70195726811851;2;M;04;Z;11;2;ZZ;1;22;2;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;2;2002;9;65;009;02;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;17;Z;Z;Z;16;1;1;Z;2;1;6;1;0;2;2;1;2;0;1;1;0;0;1;3;3;0;1;2;3,56041400450841;2;M;02;Z;11;2;ZZ;1;22;1;11;2;4;770291;3;2;3;Z
77288;ZZZZZ;772880101;2;1992;8;80;017;03;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;01;Z;Z;Z;ZZ;2;1;Z;Z;2;3;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;3,70195726811851;3;M;03;0;11;2;ZZ;2;22;2;21;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;2;0000;0;YY;999;99;1;Z;Z;H;4;Z;1;Z;Z;1;Z;Z;YY;Z;Z;Z;YY;2;1;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;3,56037101624354;Y;M;03;Y;11;2;ZZ;Y;00;2;YY;Y;Y;770291;3;2;X;Z
77288;ZZZZZ;772880101;3;2001;9;40;008;02;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;02;Z;Z;Z;16;2;1;Z;1;2;1;2;1;3;4;2;4;0;0;0;0;0;2;6;5;1;1;1;3,70195726811851;1;M;04;Z;11;0;ZZ;1;23;2;11;1;2;770291;3;2;0;Z
77288;ZZZZZ;772880101;2;1973;6;25;038;05;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;02;Z;Z;Z;16;1;1;Z;1;2;1;0;3;4;4;3;4;1;1;1;2;0;2;7;2;5;2;3;3,56041400450841;2;M;04;Z;11;2;ZZ;1;22;2;11;1;4;770291;3;2;1;Z
